activityinstanceid,activitycustomerkey,automationname,activityinstancestarttime_utc,activityinstanceendtime_utc,activityname,activityinstancestatus,activityinstancestatusdetails,duration
5E04DF8B-A7CA-4AF8-9BE0-822A879DBA6B,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 12:42:44 AM,3/19/2023 12:43:49 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
2F7A1F98-4CCB-41E4-9C3F-549D1EA6B323,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 8:42:30 AM,3/22/2023 8:43:32 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
D523CC69-3652-439E-807E-CEE2C538460D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 3:42:44 AM,3/25/2023 3:43:38 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
42640AC2-517B-4A9D-AD5A-61E41E25F0A5,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 5:42:24 PM,3/22/2023 5:42:44 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
A96D5600-FC42-437A-A6BE-37805D088FDC,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 7:43:06 PM,3/26/2023 7:43:38 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
7026EC65-6A74-4EB5-93B8-7EB9BC6C671D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 10:43:03 AM,3/19/2023 10:43:30 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
FCAA32CF-1567-4CDB-8C5D-FB9AFEED5F64,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 6:42:28 AM,3/19/2023 6:42:50 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
78876B82-DE6C-4EDB-99B3-829ED495ACB6,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 4:42:34 PM,3/19/2023 4:43:24 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
1F59D43D-7E0D-400D-A4D0-E1B5C7ECF1C9,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 4:43:16 PM,3/23/2023 4:44:09 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
24EE6549-124B-4662-B55F-64E3428C7C7C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 7:42:27 AM,3/22/2023 7:42:54 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
B86C85D0-1269-4380-A2B1-134457401F44,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 6:42:33 AM,3/21/2023 6:43:37 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
F4BEA1AC-C346-41B7-874C-E24F466E774C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 10:42:46 PM,3/20/2023 10:43:55 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
8C1B5A03-560E-4CA6-A361-48817A20BC41,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 8:42:41 PM,3/21/2023 8:43:25 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
CC505EA0-0D5F-4316-864E-B33EF82CF0D8,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 6:42:29 AM,3/26/2023 6:43:00 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
0C3A1A0D-7DA9-4ACA-879A-EE0603ABFBAD,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 5:42:33 PM,3/19/2023 5:43:35 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
A8327735-B291-42E0-808E-30856CC6C532,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/24/2023 4:43:23 PM,3/24/2023 4:43:58 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
9BFA2D37-8428-44B7-BAC9-CE4EDFB06F68,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 7:42:26 AM,3/26/2023 7:42:57 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
EB66A6DE-7D35-4E8D-9DE1-FAC10A016C90,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 1:42:54 PM,3/22/2023 1:43:38 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
12F42F2D-6C0B-44C2-A6DD-AE90A4BC0FBF,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 2:42:28 PM,3/22/2023 2:43:00 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
744FD50A-6DD7-4DA4-B5F2-2363BD09AFF1,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 6:42:29 PM,3/26/2023 6:43:30 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
01393F07-CE87-4C0C-8EAD-9590AD59EA26,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 7:42:32 PM,3/23/2023 7:43:33 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
3C6ABD81-20BB-4479-9425-2856EA159410,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/24/2023 7:42:51 PM,3/24/2023 7:43:42 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
71277E4C-0A01-435D-A1AD-EF23F7BEE773,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/27/2023 12:43:10 AM,3/27/2023 12:43:56 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
AC452BC8-AFEB-4580-802C-B170FCB7E4C3,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 12:42:36 PM,3/18/2023 12:43:40 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
E69027F7-3D18-42E0-A0A9-01C94F4F584F,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 11:42:28 AM,3/25/2023 11:43:01 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
0FFEC700-3EA8-4A75-8766-A11BA14FD9E2,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 3:42:36 PM,3/26/2023 3:43:47 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
CC633F5A-CA47-4494-A01A-7BF6E3A2D101,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 2:42:23 PM,3/23/2023 2:42:48 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
BBF49223-308A-4AD8-AC22-5E140F16D682,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 10:42:31 AM,3/23/2023 10:43:36 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
C1BB4F72-141B-4F40-92B5-1FA1036619D4,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 9:42:43 AM,3/21/2023 9:43:59 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
5AA0D6F7-9FDE-4A6A-AA73-AA721A19BD3D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 11:42:23 AM,3/18/2023 11:42:45 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
32CA5573-2F14-4F85-9BA3-D39F1DA5D5E9,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 10:42:50 PM,3/26/2023 10:43:45 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
9FF451C3-921D-4F7A-8AB6-FDFE7D10D6B6,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 12:42:40 PM,3/20/2023 12:43:22 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
19529827-FEB4-4A2A-A911-7C29B5A0AFFE,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 11:42:44 PM,3/19/2023 11:43:35 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
D1E37F96-570E-491E-8AF6-CB4E61ED7182,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/27/2023 7:42:30 AM,3/27/2023 7:43:33 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
B841FD93-E3DB-4E47-8E36-11A0310F7E16,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/27/2023 2:42:52 AM,3/27/2023 2:44:06 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,2
90F41C3F-A629-407B-892D-D203705D0658,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 12:42:56 PM,3/23/2023 12:43:36 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
1F7286F5-F56F-4DF5-BC91-BD2C3EEF8D8C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 4:42:42 AM,3/19/2023 4:43:23 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
A3B98212-5F8B-4285-BDC3-B161733B002B,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 7:42:40 PM,3/20/2023 7:43:38 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
CE0AA05D-B797-484D-9E72-BECE2DE98DD1,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/24/2023 3:42:48 PM,3/24/2023 3:43:28 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
9BCCA72D-5D48-4327-A111-BD51486F2AC2,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 5:42:45 AM,3/22/2023 5:43:35 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
A694B722-BE44-47D4-B1AE-B611D5C91BDE,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 12:43:08 AM,3/25/2023 12:43:47 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
A5A8FE7E-ABDC-4A2C-B6D5-B42F7F9863E9,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 7:42:27 AM,3/25/2023 7:42:58 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
582A8B2C-7EC4-4A03-A2DB-391A763ED877,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 4:42:33 AM,3/21/2023 4:43:39 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
E0333BEB-0B61-433D-972C-94AADE222DCF,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 7:42:42 PM,3/18/2023 7:43:31 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
7484BB77-39D2-4085-B20D-B090B410DB9D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 2:43:56 AM,3/20/2023 2:45:06 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,2
B880B815-9729-45CE-96BC-7BB31363D757,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 2:43:23 AM,3/23/2023 2:44:33 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
879D1E05-FA73-4342-8149-1619596C2B20,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/27/2023 8:42:37 AM,3/27/2023 8:43:35 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
A74CF2DF-8A6A-4A09-BE38-B6664E84F8FD,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 9:42:57 PM,3/20/2023 9:44:04 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,2
A39974F2-D68C-4466-8E88-E7F3EDC2A3B1,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 10:42:41 PM,3/25/2023 10:43:48 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
F7614B36-E1B8-4B69-A5EB-EA77F41C6133,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 3:43:01 AM,3/21/2023 3:43:35 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,0
8FF87C05-5BCF-4DD4-AB72-8CE41E741B16,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 3:42:49 AM,3/19/2023 3:43:44 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
51EB71D8-1D74-4050-9A0F-E7CCFD1A183C,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 12:42:38 PM,3/21/2023 12:43:28 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
94D24D70-553F-45A7-9D83-7EAF16C13EAC,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 2:43:45 PM,3/19/2023 2:44:51 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
9230F0C1-2B1B-4114-A562-F483973C712D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 1:43:51 AM,3/21/2023 1:45:40 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,2
9BDE3045-127D-4CA0-B04B-ABD133970A67,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 11:42:38 PM,3/26/2023 11:43:48 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
175E4BD3-2A7D-42DE-9652-3F226E348C47,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 9:43:04 PM,3/19/2023 9:43:43 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,0
F3DC674F-8F85-497F-9FFF-68F93DEBF476,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/24/2023 12:42:43 AM,3/24/2023 12:43:16 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
21DB83E6-0D37-418E-88EB-51CE62358295,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 12:42:46 PM,3/19/2023 12:43:23 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
AC24347F-CC61-4ECD-BD82-4B6316333072,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/27/2023 5:42:28 AM,3/27/2023 5:42:42 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,0
7CD637E6-3906-4B66-94F4-299D58A959B5,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 6:42:23 AM,3/18/2023 6:42:38 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,0
7A7322C8-B913-48E4-8548-D51AA6CB7D19,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 9:42:37 AM,3/19/2023 9:43:38 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
25ACE78D-AC88-4389-BA23-FCBDE705FD52,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/18/2023 5:42:27 AM,3/18/2023 5:42:41 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,0
657780A6-9BB2-4413-B9CC-6F14A95C9A6B,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 1:42:38 PM,3/23/2023 1:43:11 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
4FD8CA05-481E-4EA7-88D8-22F349536BB5,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 10:42:48 PM,3/21/2023 10:43:44 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
8CA70C79-0713-4BEE-9818-CE1F23F11E65,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 11:42:26 AM,3/21/2023 11:42:37 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,0
BC8E1D22-4C73-4B90-B853-F09A0447B959,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 3:42:42 PM,3/21/2023 3:43:28 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
195869D7-3856-4271-9175-CB2E6B409BDA,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 2:43:53 AM,3/19/2023 2:44:49 AM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
7BEAB722-5E17-4ED7-B4A4-0741D8A82B12,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 3:43:36 PM,3/22/2023 3:44:29 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
B554093A-5150-48A9-AB65-7B9F96F3C497,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 10:42:47 PM,3/23/2023 10:43:38 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
0502942A-43CD-4B74-8F23-8573ECA68135,69eb1534-671e-4882-a380-f56aec6a13b0,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 7:42:50 PM,3/25/2023 7:43:19 PM,Extract-Upload C7297467._SFMCSMSEngagementEvent into S3,Complete,,1
15E81967-19FF-4DEB-BEF6-0C3462A5C6BF,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 8:42:32 AM,3/25/2023 8:43:27 AM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
F346C779-F2A1-4B3C-B1B9-64050938B9E1,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 4:42:38 PM,3/25/2023 4:43:21 PM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
7D070BFF-B758-42A2-BCFC-106129961BF6,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 9:43:37 PM,3/21/2023 9:44:35 PM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
B54C78C2-C147-4A67-81D0-51F4A0CE4FC5,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 6:42:41 PM,3/20/2023 6:43:22 PM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
1B7B2A5E-17DD-475F-8159-CD2329FF01AC,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 4:42:50 PM,3/22/2023 4:43:37 PM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
E542C79E-0CAF-4667-BAF1-90105E22369E,d5731786-a3ee-4292-9e5b-bd7846176f7c,Proquire LLC-729-7281704-PSMain_1h,3/23/2023 8:42:32 AM,3/23/2023 8:43:21 AM,Extract-Upload C7301111._SFMCSMSEngagementEvent into S3,Complete,,1
C3C33B87-48D7-44CE-9F1D-E602255AF001,af62c669-5485-49af-989f-47d956a28e74,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 4:42:42 AM,3/19/2023 4:43:17 AM,Extract-Upload C7315249._SFMCSMSEngagementEvent into S3,Complete,,1
9F5C86FE-39BB-48DB-93F3-13D6247D9EF0,af62c669-5485-49af-989f-47d956a28e74,Proquire LLC-729-7281704-PSMain_1h,3/20/2023 7:42:40 PM,3/20/2023 7:43:21 PM,Extract-Upload C7315249._SFMCSMSEngagementEvent into S3,Complete,,1
49A99536-724E-463B-87FB-88D74672C0DE,af62c669-5485-49af-989f-47d956a28e74,Proquire LLC-729-7281704-PSMain_1h,3/24/2023 3:42:48 PM,3/24/2023 3:43:27 PM,Extract-Upload C7315249._SFMCSMSEngagementEvent into S3,Complete,,1
56A31D82-B966-4393-B5FF-54E3A9537085,af62c669-5485-49af-989f-47d956a28e74,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 5:42:45 AM,3/22/2023 5:43:26 AM,Extract-Upload C7315249._SFMCSMSEngagementEvent into S3,Complete,,1
D5F3C192-E308-4E46-816E-EF5C33951DE1,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/22/2023 9:42:54 AM,3/22/2023 9:43:25 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
5C39D6BB-4F43-4E29-AD24-91E7034F673E,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/21/2023 4:42:51 PM,3/21/2023 4:43:30 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
8AD73861-DCA8-4C32-AEDD-8066B82A114D,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/19/2023 5:42:40 AM,3/19/2023 5:43:27 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
32C10D73-E60B-4314-B0A9-032849A2CEAE,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/26/2023 8:42:48 PM,3/26/2023 8:45:01 PM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,3
EDDE4E3D-3A21-406D-ABB5-AC2DEEA85160,4b500065-7437-4387-a4b0-f0ad2f0655b7,Proquire LLC-729-7281704-PSMain_1h,3/25/2023 4:42:40 AM,3/25/2023 4:43:41 AM,Extract-Upload C518002961._SFMCPushEngagementEvent into S3,Complete,,1
